url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,215,139
/DesirePathGames/Slay-The-Robot/wiki,37,29
/DesirePathGames/Slay-The-Robot/wiki/Animations,13,12
/DesirePathGames/Slay-The-Robot/wiki/Card-Picking,13,9
/DesirePathGames/Slay-The-Robot/wiki/Artifacts,12,9
/DesirePathGames/Slay-The-Robot/wiki/Cards,11,9
/DesirePathGames/Slay-The-Robot/wiki/Project-Structure,9,8
/DesirePathGames/Slay-The-Robot/releases/tag/major,8,7
/DesirePathGames/Slay-The-Robot/tree/main/scripts,7,7
/DesirePathGames/Slay-The-Robot/issues,6,5
