url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,159,98
/DesirePathGames/Slay-The-Robot/wiki,28,20
/DesirePathGames/Slay-The-Robot/forks,11,1
/DesirePathGames/Slay-The-Robot/wiki/Cards,9,9
/DesirePathGames/Slay-The-Robot/wiki/Artifacts,8,7
/DesirePathGames/Slay-The-Robot/releases/tag/major,7,7
/DesirePathGames/Slay-The-Robot/wiki/Animations,7,6
/DesirePathGames/Slay-The-Robot/tree/main,7,4
/DesirePathGames/Slay-The-Robot/wiki/Content-Packs-and-Filters,7,4
/DesirePathGames/Slay-The-Robot/tree/main/scripts,7,3
