url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,170,104
/DesirePathGames/Slay-The-Robot/wiki,31,23
/DesirePathGames/Slay-The-Robot/wiki/Cards,11,11
/DesirePathGames/Slay-The-Robot/forks,11,1
/DesirePathGames/Slay-The-Robot/wiki/Animations,9,8
/DesirePathGames/Slay-The-Robot/wiki/Artifacts,8,7
/DesirePathGames/Slay-The-Robot/releases/tag/major,7,7
/DesirePathGames/Slay-The-Robot/wiki/Intro-To-The-Action-System,7,6
/DesirePathGames/Slay-The-Robot/tree/main/scripts,7,3
/DesirePathGames/Slay-The-Robot/wiki/Card-Picking,6,5
