url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,156,96
/DesirePathGames/Slay-The-Robot/wiki,27,19
/DesirePathGames/Slay-The-Robot/forks,11,1
/DesirePathGames/Slay-The-Robot/wiki/Cards,8,8
/DesirePathGames/Slay-The-Robot/wiki/Artifacts,8,7
/DesirePathGames/Slay-The-Robot/releases/tag/major,7,7
/DesirePathGames/Slay-The-Robot/wiki/Content-Packs-and-Filters,7,4
/DesirePathGames/Slay-The-Robot/issues,6,6
/DesirePathGames/Slay-The-Robot/wiki/Animations,6,5
/DesirePathGames/Slay-The-Robot/wiki/Card-Picking,6,5
