url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,170,95
/DesirePathGames/Slay-The-Robot/wiki,32,23
/DesirePathGames/Slay-The-Robot/forks,12,2
/DesirePathGames/Slay-The-Robot/wiki/Cards,10,9
/DesirePathGames/Slay-The-Robot/issues,10,7
/DesirePathGames/Slay-The-Robot/wiki/Animations,8,7
/DesirePathGames/Slay-The-Robot/wiki/Artifacts,8,7
/DesirePathGames/Slay-The-Robot/blob/main/autoload/GlobalTestDataGenerator.gd,8,1
/DesirePathGames/Slay-The-Robot/releases/tag/major,6,6
/DesirePathGames/Slay-The-Robot/tree/main/addons,5,5
