url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,217,147
/DesirePathGames/Slay-The-Robot/wiki,41,30
/DesirePathGames/Slay-The-Robot/wiki/Animations,12,11
/DesirePathGames/Slay-The-Robot/wiki/Card-Picking,12,8
/DesirePathGames/Slay-The-Robot/wiki/Artifacts,11,8
/DesirePathGames/Slay-The-Robot/tree/main/scripts,10,10
/DesirePathGames/Slay-The-Robot/wiki/Project-Structure,10,9
/DesirePathGames/Slay-The-Robot/wiki/Cards,10,8
/DesirePathGames/Slay-The-Robot/releases/tag/major,9,8
/DesirePathGames/Slay-The-Robot/issues,8,7
