url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,120,70
/DesirePathGames/Slay-The-Robot/wiki,22,16
/DesirePathGames/Slay-The-Robot/wiki/Cards,8,6
/DesirePathGames/Slay-The-Robot/issues,7,4
/DesirePathGames/Slay-The-Robot/releases/tag/major,6,6
/DesirePathGames/Slay-The-Robot/tree/main/addons,5,5
/DesirePathGames/Slay-The-Robot/wiki/Animations,5,5
/DesirePathGames/Slay-The-Robot/tree/main,5,4
/DesirePathGames/Slay-The-Robot/tree/main/data,5,4
/DesirePathGames/Slay-The-Robot/wiki/Intro-To-The-Action-System,5,3
