time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-30 00:00:00+00:00,11,5,30,12
2026-07-01 00:00:00+00:00,12,10,15,7
2026-07-02 00:00:00+00:00,24,11,11,8
2026-07-03 00:00:00+00:00,10,4,44,14
2026-07-04 00:00:00+00:00,28,15,41,11
2026-07-05 00:00:00+00:00,30,11,32,10
2026-07-06 00:00:00+00:00,27,13,76,8
2026-07-07 00:00:00+00:00,15,8,16,8
2026-07-08 00:00:00+00:00,16,6,12,10
2026-07-09 00:00:00+00:00,4,4,18,7
2026-07-10 00:00:00+00:00,16,7,17,7
2026-07-11 00:00:00+00:00,30,11,13,8
2026-07-12 00:00:00+00:00,13,7,36,11
2026-07-13 00:00:00+00:00,33,11,9,6
