url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,262,165
/DesirePathGames/Slay-The-Robot/wiki,33,23
/DesirePathGames/Slay-The-Robot/tree/main,21,10
/DesirePathGames/Slay-The-Robot/releases/tag/major,20,12
/DesirePathGames/Slay-The-Robot/wiki/Cards,17,12
/DesirePathGames/Slay-The-Robot/tree/main/scripts,17,8
/DesirePathGames/Slay-The-Robot/tree/main/scenes,14,10
/DesirePathGames/Slay-The-Robot/tree/main/scenes/combatants,11,3
/DesirePathGames/Slay-The-Robot/wiki/Animations,10,10
/DesirePathGames/Slay-The-Robot/tree/main/scenes/ui,8,5
