time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-21 00:00:00+00:00,24,14,18,8
2026-07-22 00:00:00+00:00,24,12,13,8
2026-07-23 00:00:00+00:00,3,3,20,6
2026-07-24 00:00:00+00:00,38,8,11,5
2026-07-25 00:00:00+00:00,20,11,16,10
2026-07-26 00:00:00+00:00,6,6,22,11
2026-07-27 00:00:00+00:00,26,10,29,6
2026-07-28 00:00:00+00:00,15,8,18,11
2026-07-29 00:00:00+00:00,7,6,23,10
2026-07-30 00:00:00+00:00,2,2,33,16
2026-07-31 00:00:00+00:00,6,4,9,6
2026-08-01 00:00:00+00:00,16,10,31,11
2026-08-02 00:00:00+00:00,7,6,15,11
2026-08-03 00:00:00+00:00,20,9,50,13
