url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,249,161
/DesirePathGames/Slay-The-Robot/wiki,31,21
/DesirePathGames/Slay-The-Robot/tree/main,21,10
/DesirePathGames/Slay-The-Robot/releases/tag/major,18,11
/DesirePathGames/Slay-The-Robot/tree/main/scripts,17,8
/DesirePathGames/Slay-The-Robot/tree/main/scenes,16,12
/DesirePathGames/Slay-The-Robot/wiki/Cards,16,11
/DesirePathGames/Slay-The-Robot/tree/main/scenes/combatants,10,3
/DesirePathGames/Slay-The-Robot/wiki/Animations,9,9
/DesirePathGames/Slay-The-Robot/tree/main/scenes/ui,8,5
