time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-02 00:00:00+00:00,7,6,15,11
2026-08-03 00:00:00+00:00,20,9,50,13
2026-08-04 00:00:00+00:00,12,5,16,12
2026-08-05 00:00:00+00:00,12,9,30,10
2026-08-06 00:00:00+00:00,3,3,32,11
2026-08-07 00:00:00+00:00,26,14,25,12
2026-08-08 00:00:00+00:00,6,6,38,7
2026-08-09 00:00:00+00:00,11,11,32,9
2026-08-10 00:00:00+00:00,9,9,42,12
2026-08-11 00:00:00+00:00,17,10,34,12
2026-08-12 00:00:00+00:00,32,15,29,15
2026-08-13 00:00:00+00:00,21,15,16,11
2026-08-14 00:00:00+00:00,9,9,51,14
2026-08-15 00:00:00+00:00,18,5,40,15
