url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,217,144
/DesirePathGames/Slay-The-Robot/wiki,44,32
/DesirePathGames/Slay-The-Robot/wiki/Animations,13,12
/DesirePathGames/Slay-The-Robot/wiki/Card-Picking,13,9
/DesirePathGames/Slay-The-Robot/wiki/Artifacts,12,9
/DesirePathGames/Slay-The-Robot/tree/main/scripts,10,10
/DesirePathGames/Slay-The-Robot/wiki/Project-Structure,10,9
/DesirePathGames/Slay-The-Robot/wiki/Cards,10,8
/DesirePathGames/Slay-The-Robot/issues,9,8
/DesirePathGames/Slay-The-Robot/releases/tag/major,9,8
