url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,258,167
/DesirePathGames/Slay-The-Robot/wiki,41,29
/DesirePathGames/Slay-The-Robot/releases/tag/major,25,17
/DesirePathGames/Slay-The-Robot/tree/main/scripts,11,9
/DesirePathGames/Slay-The-Robot/wiki/Cards,10,6
/DesirePathGames/Slay-The-Robot/wiki/Card-Picking,8,5
/DesirePathGames/Slay-The-Robot/blob/main/README.md,8,2
/DesirePathGames/Slay-The-Robot/wiki/Animations,7,7
/DesirePathGames/Slay-The-Robot/tree/main,6,5
/DesirePathGames/Slay-The-Robot/tree/main/animations,5,5
