url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,180,110
/DesirePathGames/Slay-The-Robot/wiki,36,26
/DesirePathGames/Slay-The-Robot/wiki/Animations,14,12
/DesirePathGames/Slay-The-Robot/releases/tag/major,12,10
/DesirePathGames/Slay-The-Robot/wiki/Artifacts,11,9
/DesirePathGames/Slay-The-Robot/wiki/Cards,10,10
/DesirePathGames/Slay-The-Robot/wiki/Project-Structure,8,6
/DesirePathGames/Slay-The-Robot/tree/main,8,4
/DesirePathGames/Slay-The-Robot/wiki/Card-Picking,7,6
/DesirePathGames/Slay-The-Robot/tree/main/scripts,7,4
