time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-12 00:00:00+00:00,13,7,36,11
2026-07-13 00:00:00+00:00,33,11,9,6
2026-07-14 00:00:00+00:00,20,9,12,5
2026-07-15 00:00:00+00:00,27,14,61,12
2026-07-16 00:00:00+00:00,23,12,32,7
2026-07-17 00:00:00+00:00,12,7,39,7
2026-07-18 00:00:00+00:00,27,16,23,4
2026-07-19 00:00:00+00:00,10,6,24,8
2026-07-20 00:00:00+00:00,16,7,6,6
2026-07-21 00:00:00+00:00,24,14,18,8
2026-07-22 00:00:00+00:00,24,12,13,8
2026-07-23 00:00:00+00:00,3,3,20,6
2026-07-24 00:00:00+00:00,38,8,11,5
2026-07-25 00:00:00+00:00,20,11,16,10
